통계표,수요부문(열),투입부문(행),단위,변환,2020,2021,2022,2023
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","농림수산품","명/십억원","원자료","22.790177","20.005661","21.247925","20.930892"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","광산품","명/십억원","원자료","0.001592","0.001256","0.002316","0.001006"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","음식료품","명/십억원","원자료","0.434342","0.400517","0.39915","0.445781"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","섬유 및 가죽제품","명/십억원","원자료","0.056867","0.063572","0.03999","0.025895"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","목재 및 종이, 인쇄","명/십억원","원자료","0.101235","0.089343","0.070397","0.077421"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","석탄 및 석유제품","명/십억원","원자료","0.003158","0.002994","0.00281","0.002585"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","화학제품","명/십억원","원자료","0.158689","0.136743","0.128631","0.130388"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","비금속광물제품","명/십억원","원자료","0.008882","0.008147","0.007144","0.006165"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","1차 금속제품","명/십억원","원자료","0.007028","0.006738","0.006051","0.005304"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","금속가공제품","명/십억원","원자료","0.034519","0.030159","0.027894","0.025788"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","컴퓨터, 전자 및 광학기기","명/십억원","원자료","0.014931","0.012939","0.012297","0.012223"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","전기장비","명/십억원","원자료","0.016802","0.015142","0.015337","0.013447"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","기계 및 장비","명/십억원","원자료","0.01579","0.014529","0.014292","0.011236"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","운송장비","명/십억원","원자료","0.015046","0.012486","0.012272","0.010707"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","기타 제조업 제품","명/십억원","원자료","0.008499","0.00856","0.0084","0.008173"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","제조임가공 및 산업용 장비 수리","명/십억원","원자료","0.115345","0.099679","0.10074","0.100188"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","전력, 가스 및 증기","명/십억원","원자료","0.024987","0.020945","0.022319","0.027045"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","수도, 폐기물처리 및 재활용서비스","명/십억원","원자료","0.036211","0.034316","0.028007","0.026799"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","건설","명/십억원","원자료","0.033757","0.033612","0.022516","0.015797"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","도소매 및 상품중개서비스","명/십억원","원자료","0.861939","0.749538","0.697166","0.719007"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","운송서비스","명/십억원","원자료","0.430709","0.369304","0.354974","0.366647"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","음식점 및 숙박서비스","명/십억원","원자료","0.16845","0.14673","0.139115","0.147514"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","정보통신 및 방송 서비스","명/십억원","원자료","0.07052","0.058046","0.058636","0.05847"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","금융 및 보험 서비스","명/십억원","원자료","0.118941","0.115917","0.118927","0.100059"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","부동산서비스","명/십억원","원자료","0.024145","0.021691","0.021105","0.022684"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","전문, 과학 및 기술 서비스","명/십억원","원자료","0.283583","0.268492","0.278893","0.269165"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","사업지원서비스","명/십억원","원자료","0.183313","0.166987","0.157458","0.150437"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","공공행정, 국방 및 사회보장","명/십억원","원자료","0.036399","0.03633","0.040504","0.033735"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","교육서비스","명/십억원","원자료","0.005499","0.008393","0.006707","0.006274"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","보건 및 사회복지 서비스","명/십억원","원자료","0.026838","0.028941","0.026248","0.02322"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","예술, 스포츠 및 여가 관련 서비스","명/십억원","원자료","0.024755","0.020604","0.018566","0.017268"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","기타 서비스","명/십억원","원자료","0.083461","0.068745","0.065486","0.060255"
"2.2.1.2.6. 투입산출표 취업유발계수표(생산자가격, 대분류)","농림수산품","기타","명/십억원","원자료","0","0","0","0"
