통계표,수요부문(열),투입부문(행),단위,변환,2020,2021,2022,2023
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","농림수산품","농림수산품","","원자료","1.095745","1.101027","1.092833","1.101715"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","농림수산품","광산품","","원자료","0.000531","0.000549","0.001062","0.000532"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","농림수산품","음식료품","","원자료","0.185144","0.180192","0.203502","0.233339"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","농림수산품","섬유 및 가죽제품","","원자료","0.018267","0.023489","0.017751","0.011915"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","농림수산품","목재 및 종이, 인쇄","","원자료","0.029544","0.03067","0.025747","0.027063"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","농림수산품","석탄 및 석유제품","","원자료","0.031806","0.03668","0.047359","0.037658"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","농림수산품","화학제품","","원자료","0.103953","0.107566","0.112238","0.10516"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","농림수산품","비금속광물제품","","원자료","0.0035","0.00334","0.003219","0.003081"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","농림수산품","1차 금속제품","","원자료","0.007576","0.009687","0.009175","0.007403"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","농림수산품","금속가공제품","","원자료","0.010901","0.010638","0.010418","0.010188"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","농림수산품","컴퓨터, 전자 및 광학기기","","원자료","0.011439","0.01166","0.01152","0.010043"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","농림수산품","전기장비","","원자료","0.008348","0.008701","0.010548","0.009341"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","농림수산품","기계 및 장비","","원자료","0.005838","0.006207","0.006284","0.005017"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","농림수산품","운송장비","","원자료","0.009262","0.008229","0.009661","0.009346"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","농림수산품","기타 제조업 제품","","원자료","0.001699","0.001732","0.001773","0.001795"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","농림수산품","제조임가공 및 산업용 장비 수리","","원자료","0.019543","0.018467","0.021208","0.020032"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","농림수산품","전력, 가스 및 증기","","원자료","0.0336","0.033691","0.043908","0.050792"
"2.2.1.2.3. 투입산출표 생산유발계수표(생산자가격, 대분류)","농림수산품","수도, 폐기물처리 및 재활용서비스","","원자료","0.006427","0.006397","0.006315","0.005798"
