통계표,수요부문(열),투입부문(행),단위,변환,2020,2021,2022,2023
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","농림수산품","농림수산품","","원자료","0.015728","0.015482","0.020224","0.020869"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","농림수산품","광산품","","원자료","0.029799","0.037745","0.060539","0.049656"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","농림수산품","음식료품","","원자료","0.019071","0.019545","0.023874","0.022664"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","농림수산품","섬유 및 가죽제품","","원자료","0.005624","0.006735","0.006181","0.005257"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","농림수산품","목재 및 종이, 인쇄","","원자료","0.003109","0.003491","0.003327","0.003091"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","농림수산품","석탄 및 석유제품","","원자료","0.007865","0.011236","0.01307","0.011382"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","농림수산품","화학제품","","원자료","0.025625","0.030241","0.04009","0.029964"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","농림수산품","비금속광물제품","","원자료","0.00055","0.000566","0.000606","0.000506"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","농림수산품","1차 금속제품","","원자료","0.002443","0.003353","0.003406","0.002613"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","농림수산품","금속가공제품","","원자료","0.000815","0.000836","0.00088","0.000887"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","농림수산품","컴퓨터, 전자 및 광학기기","","원자료","0.003435","0.003623","0.003891","0.003625"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","농림수산품","전기장비","","원자료","0.001132","0.001373","0.001752","0.001682"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","농림수산품","기계 및 장비","","원자료","0.001472","0.001546","0.001516","0.001284"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","농림수산품","운송장비","","원자료","0.00082","0.000703","0.00111","0.001347"
"2.2.1.2.4. 투입산출표 수입유발계수표(생산자가격, 대분류)","농림수산품","기타 제조업 제품","","원자료","0.000262","0.0003","0.000279","0.000222"
