mineral,country,hs_code,country_code,country_name,item_name,period,import_amount_usd,import_weight_kg,export_amount_usd,export_weight_kg,balance_usd
흑연 (Graphite),중국,2504101000,CN,중국,인상(鱗狀)흑연,2025.07,733488,669015,5795,844,-727693
흑연 (Graphite),중국,2504101000,CN,중국,인상(鱗狀)흑연,2025.08,858450,642079,18451,3483,-839999
흑연 (Graphite),중국,2504101000,CN,중국,인상(鱗狀)흑연,2025.09,718725,568129,2097,360,-716628
흑연 (Graphite),중국,2504101000,CN,중국,인상(鱗狀)흑연,2025.10,817828,631378,13658,3845,-804170
흑연 (Graphite),중국,2504101000,CN,중국,인상(鱗狀)흑연,2025.11,644052,401722,3191,840,-640861
흑연 (Graphite),중국,2504101000,CN,중국,인상(鱗狀)흑연,2025.12,912783,677399,7869,1323,-904914
흑연 (Graphite),중국,2504101000,CN,중국,인상(鱗狀)흑연,2026.01,1076230,1044752,2108,360,-1074122
흑연 (Graphite),중국,2504101000,CN,중국,인상(鱗狀)흑연,2026.02,1222939,1196812,4845,485,-1218094
흑연 (Graphite),중국,2504101000,CN,중국,인상(鱗狀)흑연,2026.03,1119212,1045219,2106,360,-1117106
흑연 (Graphite),중국,2504101000,CN,중국,인상(鱗狀)흑연,2026.04,844804,558862,10837,366,-833967
흑연 (Graphite),중국,2504101000,CN,중국,인상(鱗狀)흑연,2026.05,1049995,838387,3196,840,-1046799
흑연 (Graphite),중국,2504101000,CN,중국,인상(鱗狀)흑연,2026.06,900148,679767,14105,854,-886043
흑연 (Graphite),호주,2504101000,AU,호주,인상(鱗狀)흑연,2025.08,0,0,149,0,149
흑연 (Graphite),호주,2504101000,AU,호주,인상(鱗狀)흑연,2025.11,93,28,0,0,-93
흑연 (Graphite),중국,2504102000,CN,중국,토상(土狀)흑연,2025.07,7573,20050,0,0,-7573
흑연 (Graphite),중국,2504102000,CN,중국,토상(土狀)흑연,2025.08,19980,60000,0,0,-19980
흑연 (Graphite),중국,2504102000,CN,중국,토상(土狀)흑연,2025.09,58810,144000,0,0,-58810
흑연 (Graphite),중국,2504102000,CN,중국,토상(土狀)흑연,2025.10,68270,160000,0,0,-68270
흑연 (Graphite),중국,2504102000,CN,중국,토상(土狀)흑연,2025.11,11960,44000,0,0,-11960
흑연 (Graphite),중국,2504102000,CN,중국,토상(土狀)흑연,2025.12,97993,260000,0,0,-97993
흑연 (Graphite),중국,2504102000,CN,중국,토상(土狀)흑연,2026.01,41103,100000,0,0,-41103
흑연 (Graphite),중국,2504102000,CN,중국,토상(土狀)흑연,2026.02,62477,148000,0,0,-62477
흑연 (Graphite),중국,2504102000,CN,중국,토상(土狀)흑연,2026.03,64752,160000,0,0,-64752
흑연 (Graphite),중국,2504102000,CN,중국,토상(土狀)흑연,2026.04,57058,140000,0,0,-57058
흑연 (Graphite),중국,2504102000,CN,중국,토상(土狀)흑연,2026.05,19385,40000,0,0,-19385
흑연 (Graphite),중국,2504102000,CN,중국,토상(土狀)흑연,2026.06,65354,164000,0,0,-65354
흑연 (Graphite),호주,2504102000,AU,호주,토상(土狀)흑연,2025.08,0,0,792,1,792
흑연 (Graphite),인도네시아,2504102000,ID,인도네시아,토상(土狀)흑연,2025.09,0,0,431,200,431
흑연 (Graphite),인도네시아,2504102000,ID,인도네시아,토상(土狀)흑연,2025.10,0,0,213,100,213
