광물,HS코드,품목명,수입중량_kg,수입액_USD,연도,출처
리튬,283691,"탄산리튬 (Carbonates; lithium carbonate)",722463.794,7073171,2025,UN Comtrade 對중국 수입(CIF)·연간
리튬,282520,"리튬 산화물·수산화물 (Lithium oxide and hydroxide)",35968203.049,593505452,2025,UN Comtrade 對중국 수입(CIF)·연간
리튬,253090,"기타 광물성 물질 (Mineral substances n.e.c. in chapter 25)",45878325.581,11909272,2025,UN Comtrade 對중국 수입(CIF)·연간
니켈,750210,"니켈 괴·비합금 (Nickel; unwrought, not alloyed)",75.582,4438,2025,UN Comtrade 對중국 수입(CIF)·연간
니켈,260400,"니켈광과 정광 (Nickel ores and concentrates)",54.005,122,2025,UN Comtrade 對중국 수입(CIF)·연간
니켈,750220,"니켈 괴·합금 (Nickel; unwrought, alloys)",6344.5,146896,2025,UN Comtrade 對중국 수입(CIF)·연간
니켈,750110,"니켈 매트 (Nickel; nickel mattes)",24801.525,119765,2025,UN Comtrade 對중국 수입(CIF)·연간
코발트,282200,"코발트 산화물·수산화물 (Cobalt oxides and hydroxides)",1939965.12,40615014,2025,UN Comtrade 對중국 수입(CIF)·연간
코발트,810520,"코발트 매트 등 중간생성물·미가공 코발트·분말 (Cobalt mattes and intermediate products; unwrought cobalt, powders)",410764.201,13413027,2025,UN Comtrade 對중국 수입(CIF)·연간
희토류,284690,"세륨 제외 희토류화합물 (Compounds of rare-earth metals excl. cerium)",1908206.838,51836670,2025,UN Comtrade 對중국 수입(CIF)·연간
희토류,284610,"세륨화합물 (Cerium compounds)",705738.166,4468570,2025,UN Comtrade 對중국 수입(CIF)·연간
희토류,280530,"희토류금속·스칸듐·이트륨 (Rare earth metals; scandium and yttrium)",91142.132,10397764,2025,UN Comtrade 對중국 수입(CIF)·연간
희토류,253090,"기타 광물성 물질 (Mineral substances n.e.c. in chapter 25)",45878325.581,11909272,2025,UN Comtrade 對중국 수입(CIF)·연간
